Italiaans,Nederlands
a,aan
a,naar
a,op
a,bij
da,van
da,door
da,bij iemand thuis
da,vanaf
di,van
in,in
in,binnen
in,naar bij landen of regio
con,met
su,op
su,over
per,voor
per,om te
tra,tussen
tra,over tijd
fra,tussen
fra,over tijd
contro,tegen
senza,zonder
secondo,volgens
verso,naar
verso,richting
durante,tijdens
sopra,boven
sopra,op
sotto,onder
davanti a,voor positie
dietro a,achter
vicino a,dichtbij
lontano da,ver van
dentro,binnen
fuori,buiten
prima di,voor
prima di,eerder dan
dopo,na
fino a,tot
fino a,totdat
oltre,voorbij
oltre,verder dan
al,aan de
al,naar de
alla,aan de
alla,naar de
ai,aan de meervoud
ai,naar de meervoud
del,van de
della,van de vrouwelijk
nel,in de
sul,op de
dal,van de
dal,vanaf de
